               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057605,             0.05164,           0.0062582,             0.90947,             0.70811,             0.78245,             0.40154,            0.051046,            0.039349,           0.0054205,            0.006535,            0.006535,            0.006535
                  37,            0.058505,            0.051476,           0.0070812,             0.91456,             0.71527,             0.80293,             0.41536,            0.050069,            0.038576,           0.0047656,            0.006436,            0.006436,            0.006436
                  38,            0.058271,            0.052838,           0.0059483,             0.91762,             0.70301,             0.79817,             0.41772,            0.050541,            0.038616,           0.0053993,            0.006337,            0.006337,            0.006337
                  39,            0.058195,            0.050648,           0.0056398,             0.91316,             0.71477,             0.80086,             0.41995,            0.049806,            0.039374,            0.004851,            0.006238,            0.006238,            0.006238
                  40,             0.05653,            0.052641,            0.005395,              0.9201,              0.7177,             0.80625,             0.41612,            0.051273,            0.038889,           0.0042724,            0.006139,            0.006139,            0.006139
                  41,            0.056492,             0.05484,           0.0054939,             0.91506,             0.71052,              0.7912,             0.41262,            0.049872,            0.039372,           0.0045909,             0.00604,             0.00604,             0.00604
                  42,            0.058021,            0.050827,           0.0057438,              0.9301,              0.7129,             0.81125,             0.41192,            0.049875,            0.039001,           0.0042393,            0.005941,            0.005941,            0.005941
                  43,            0.056754,            0.051521,           0.0051289,             0.92077,             0.72768,             0.83039,             0.44541,            0.049073,            0.038324,           0.0046228,            0.005842,            0.005842,            0.005842
                  44,            0.056153,            0.051188,           0.0052233,             0.91605,             0.70253,             0.82842,             0.44037,            0.049695,            0.039356,           0.0047012,            0.005743,            0.005743,            0.005743
                  45,            0.055742,            0.049575,           0.0056055,             0.91367,             0.73088,             0.86308,              0.4596,            0.049801,            0.038747,           0.0051393,            0.005644,            0.005644,            0.005644
                  46,             0.05615,            0.049775,           0.0048655,             0.91906,             0.74094,             0.87216,             0.46535,            0.050597,            0.039002,            0.004086,            0.005545,            0.005545,            0.005545
                  47,            0.057791,            0.050626,           0.0051857,              0.9122,             0.70875,             0.88688,             0.49896,             0.04867,            0.039025,           0.0049255,            0.005446,            0.005446,            0.005446
                  48,            0.055363,            0.049674,            0.005227,             0.93091,             0.73891,             0.89318,             0.48295,             0.04836,            0.038223,           0.0039671,            0.005347,            0.005347,            0.005347
                  49,            0.054349,            0.049934,           0.0051327,             0.92528,             0.75205,             0.91653,             0.50681,             0.04815,            0.037773,           0.0037734,            0.005248,            0.005248,            0.005248
                  50,            0.054394,            0.050775,           0.0045107,             0.93321,             0.73067,             0.90868,             0.51123,            0.048877,            0.038568,            0.003719,            0.005149,            0.005149,            0.005149
                  51,            0.056126,             0.05179,           0.0047676,             0.92955,             0.72539,             0.91255,             0.51447,             0.04956,            0.038022,           0.0036993,             0.00505,             0.00505,             0.00505
                  52,            0.055779,            0.052384,           0.0042128,             0.93883,             0.73312,             0.92643,             0.51955,            0.048207,            0.038077,           0.0035623,            0.004951,            0.004951,            0.004951
                  53,            0.054916,            0.048663,           0.0042203,             0.93243,               0.737,             0.92747,             0.50551,             0.04814,            0.037821,           0.0034464,            0.004852,            0.004852,            0.004852
                  54,            0.053943,            0.052375,           0.0037541,             0.94547,             0.73121,             0.93347,             0.51795,            0.047644,            0.037449,           0.0032145,            0.004753,            0.004753,            0.004753
                  55,            0.054681,            0.049893,           0.0044569,             0.93868,             0.72621,             0.93272,              0.5283,            0.047003,            0.037472,            0.003257,            0.004654,            0.004654,            0.004654
                  56,            0.053741,            0.051663,           0.0041153,              0.9376,             0.73289,             0.93043,             0.52506,            0.047125,            0.037271,           0.0034754,            0.004555,            0.004555,            0.004555
                  57,            0.053795,            0.050746,            0.004141,             0.92707,             0.74229,             0.94618,             0.53625,             0.04731,            0.037225,           0.0033919,            0.004456,            0.004456,            0.004456
                  58,            0.053483,             0.04549,           0.0036059,             0.69801,             0.91598,              0.9349,             0.52061,            0.049371,            0.037521,           0.0034092,            0.004357,            0.004357,            0.004357
                  59,            0.055565,            0.046868,            0.003975,             0.66339,             0.92955,             0.93311,             0.52874,            0.049934,            0.037351,           0.0032199,            0.004258,            0.004258,            0.004258
                  60,            0.053671,            0.047921,            0.003797,             0.69288,             0.92572,             0.94723,             0.53519,            0.048629,            0.036647,           0.0032722,            0.004159,            0.004159,            0.004159
                  61,            0.053628,            0.048495,            0.003627,              0.7746,             0.89652,             0.95175,             0.54817,            0.048242,             0.03731,           0.0028842,             0.00406,             0.00406,             0.00406
                  62,            0.051488,            0.046078,           0.0037445,             0.81102,             0.86839,             0.93347,             0.53111,            0.047664,            0.037689,           0.0028358,            0.003961,            0.003961,            0.003961
                  63,             0.05176,              0.0462,           0.0045685,             0.83609,             0.86184,             0.95542,             0.53971,            0.046843,            0.037378,           0.0027001,            0.003862,            0.003862,            0.003862
